priority,risk_score,id,brand_id,category,model,issues,source_url
2,0,naturehike-giling-protm-1-person-backpacking-tent,naturehike,tent,Giling PRO™ 4-Season 1-Person Backpacking Tent,no issue detected,https://www.naturehike.com/products/giling-protm-1-person-backpacking-tent
4,0,naturehike-snowbird-sp700-down-mummy-sleeping-bag,naturehike,sleeping-bag,Snowbird™ SP700 Down Mummy Sleeping Bag 19°F / -7.3°C,no issue detected,https://www.naturehike.com/products/snowbird-sp700-down-mummy-sleeping-bag
6,0,naturehike-mongartm-base-3-person-ultralight-backpacking-tent,naturehike,tent,Mongar™ BASE 3-Person Backpacking Tent,no issue detected,https://www.naturehike.com/products/mongartm-base-3-person-ultralight-backpacking-tent
7,0,naturehike-peaklite-yl01-ultralight-folding-camping-table,naturehike,table,PeakLite™ YL01 Folding Camping Table,no issue detected,https://www.naturehike.com/products/peaklite-yl01-ultralight-folding-camping-table
8,0,naturehike-mongartm-pro-1-person-ultralight-backpacking-tent,naturehike,tent,Mongar™ Pro 1-Person Ultralight Backpacking Tent,no issue detected,https://www.naturehike.com/products/mongartm-pro-1-person-ultralight-backpacking-tent
9,0,naturehike-snowbirdtm-sp550-down-mummy-sleeping-bag-29-3-f-1-5-c,naturehike,sleeping-bag,Snowbird™ SP550 Down Mummy Sleeping Bag 29.3°F / -1.5°C,no issue detected,https://www.naturehike.com/products/snowbirdtm-sp550-down-mummy-sleeping-bag-29-3-f-1-5-c
,7,flames-creed-flames-creed-glamping-tarp-screen-waterproof-outdoor-tarpaulin-shelter-awning,flames-creed,tarp,FLAME’S CREED Glamping Tarp Screen Waterproof Outdoor Tarpaulin Shelter Awning,missing weight; non-positive price; missing description,https://flamescreed.com/product/flames-creed-glamping-tarp-screen-waterproof-outdoor-tarpaulin-shelter-awning/
,7,flames-creed-flames-creed-sleeping-bag-90-white-duck-down-20d,flames-creed,sleeping-bag,FLAME’S CREED Sleeping Bag 90% White Duck Down 20D,missing weight; non-positive price; missing description,https://flamescreed.com/product/flames-creed-sleeping-bag-90-white-duck-down-20d/
,6,flames-creed-flames-creed-210150cm-15d-tarp-shelter-groundsheet,flames-creed,other,FLAME’S CREED 210*150cm 15D Tarp Shelter Groundsheet,non-positive price; accessory candidate; review indexability,https://flamescreed.com/product/flames-creed-210150cm-15d-tarp-shelter-groundsheet/
,6,nemo-vortex-pump-sack,nemo,sleeping-pad,Vortex™ Pump Sack,missing weight; accessory candidate; review indexability,https://www.nemoequipment.com/products/vortex-pump-sack
,6,sea-to-summit-ground-control-light-tent-pegs-6-pack-used,sea-to-summit,other,Ground Control Light Tent Pegs (6 Pack) (Like New),non-positive price; accessory candidate; review indexability,https://seatosummit.com/products/ground-control-light-tent-pegs-6-pack-used
,4,aegismax-aegismax-sleeping-bag-pack-stuff-sack-storage-carry-bag,aegismax,other,AEGISMAX Sleeping Bag Pack Stuff Sack Storage Carry Bag,missing weight; accessory candidate; review indexability,https://aegismaxstore.com/product/aegismax-sleeping-bag-pack-stuff-sack-storage-carry-bag/
,4,flames-creed-2018-flames-creed-lanshan-2-person-ultralight-tent-15d,flames-creed,tent,2018 FLAME’S CREED LanShan 2 Person Ultralight Tent 15D,non-positive price,https://flamescreed.com/product/2018-flames-creed-lanshan-2-person-ultralight-tent-15d/
,4,flames-creed-flames-creed-20d-quilt-90-white-duck-down,flames-creed,sleeping-bag,FLAME’S CREED 20D Quilt 90% White Duck Down,non-positive price,https://flamescreed.com/product/flames-creed-20d-quilt-90-white-duck-down/
,4,flames-creed-flames-creed-33m-tarp-ultralight-15d-nylon-silicone-coating,flames-creed,tarp,FLAME’S CREED 3*3M Tarp Ultralight 15d Nylon Silicone Coating,non-positive price,https://flamescreed.com/product/flames-creed-33m-tarp-ultralight-15d-nylon-silicone-coating/
,4,flames-creed-flames-creed-backpack-qi-dian-pro-ultralight-frameless-backpacking-4016,flames-creed,backpack,FLAME’S CREED Backpack Qi Dian Pro Ultralight Frameless Backpacking 40+16,non-positive price,https://flamescreed.com/product/flames-creed-backpack-qi-dian-pro-ultralight-frameless-backpacking-4016/
,4,flames-creed-flames-creed-lanshan-1-person-ultralight-tent-15d-silnylon,flames-creed,tent,FLAME’S CREED Lanshan 1 Person Ultralight Tent 15D Silnylon,non-positive price,https://flamescreed.com/product/flames-creed-lanshan-1-person-ultralight-tent-15d-silnylon/
,4,flames-creed-flames-creed-lanshan-1-pro-tent-20d-silnylon-ultralight,flames-creed,tent,FLAME’S CREED Lanshan 1 Pro Tent 20d Silnylon Ultralight,non-positive price,https://flamescreed.com/product/flames-creed-lanshan-1-pro-tent-20d-silnylon-ultralight/
,4,flames-creed-flames-creed-lanshan-2-pro-20d-ultralight-tent,flames-creed,tent,FLAME’S CREED Lanshan 2 Pro 20D Ultralight Tent,non-positive price,https://flamescreed.com/product/flames-creed-lanshan-2-pro-20d-ultralight-tent/
,4,flames-creed-flames-creed-taiji-2-15d-ultralight-tent-freestanding-tent,flames-creed,tent,FLAME’S CREED TAIJI 2 15D Ultralight Tent Freestanding tent,non-positive price,https://flamescreed.com/product/flames-creed-taiji-2-15d-ultralight-tent-freestanding-tent/
,4,flames-creed-flames-creed-trailstar-ultralight-tarp-tent-20d-nylon,flames-creed,tent,FLAME’S CREED TrailStar Ultralight Tarp Tent 20D Nylon,non-positive price,https://flamescreed.com/product/flames-creed-trailstar-ultralight-tarp-tent-20d-nylon/
,4,flames-creed-flames-creed-ultralight-20d-tarp-tent-nylon-zipper-rainfly,flames-creed,tent,FLAME’S CREED Ultralight 20D Tarp Tent Nylon Zipper Rainfly,non-positive price,https://flamescreed.com/product/flames-creed-ultralight-20d-tarp-tent-nylon-zipper-rainfly/
,4,flames-creed-flames-creed-winter-mat-r-value-5-8-sleeping-pad-ultralight,flames-creed,sleeping-pad,FLAME’S CREED Winter Mat R-value 5.8 Sleeping Pad Ultralight,non-positive price,https://flamescreed.com/product/flames-creed-winter-mat-r-value-5-8-sleeping-pad-ultralight/
,4,mobi-garden-mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-cloud,mobi-garden,tent,Kongar Exo-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-cloud
,4,mobi-garden-mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-glow,mobi-garden,tent,Kongar Exo-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-kongar-ul-exo-flextm-backpacking-tent-alpenglow-glow
,4,mobi-garden-mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-2-person,mobi-garden,tent,Lunta Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-2-person
,4,mobi-garden-mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-3-person,mobi-garden,tent,Lunta Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-lunta-pro-backpacking-tent-alpenglow-cloud-3-person
,4,mobi-garden-mobi-garden-lunta-pro-backpacking-tent-quartz-pink,mobi-garden,tent,Lunta Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-lunta-pro-backpacking-tent-quartz-pink
,4,mobi-garden-mobi-garden-mountain-wing-backpacking-chair,mobi-garden,chair,Mountain Wing Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-backpacking-chair
,4,mobi-garden-mobi-garden-mountain-wing-backpacking-chair-alpenglow-glow,mobi-garden,chair,Mountain Wing Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-backpacking-chair-alpenglow-glow
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-glacier-blue,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-glacier-blue
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-granite-grey,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-granite-grey
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-obsidian-black,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-obsidian-black
,4,mobi-garden-mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-summit-white,mobi-garden,chair,Mountain Wing Pro Backpacking Chair,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-mountain-wing-pro-ultralight-backpacking-chair-summit-white
,4,mobi-garden-mobi-garden-talo-x-flextm-backpacking-tent-dusk-lichen,mobi-garden,tent,Talo X-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-talo-x-flextm-backpacking-tent-dusk-lichen
,4,mobi-garden-mobi-garden-talo-x-flextm-backpacking-tent-highland-fog-bark,mobi-garden,tent,Talo X-Flex™ Backpacking Tent,missing weight; duplicate normalized model,https://www.mobigarden.com/products/mobi-garden-talo-x-flextm-backpacking-tent-highland-fog-bark
,4,nanga-aurora-tex-rectangular-down-bag-800,nanga,sleeping-bag,オーロラテックス レクタンギュラー ダウンバッグ 800,missing weight; duplicate normalized model,https://store.nanga.jp/products/aurora-tex-rectangular-down-bag-800
,4,nanga-aurora-tex-square-foot-800,nanga,sleeping-bag,オーロラテックス スクエアフット 800,missing weight; duplicate normalized model,https://store.nanga.jp/products/aurora-tex-square-foot-800
,4,nanga-sonae-bag-350dx,nanga,sleeping-bag,ソナエバッグ 350DX,missing weight; duplicate normalized model,https://store.nanga.jp/products/sonae-bag-350dx
,4,nanga-web-aurora-light-600-dx,nanga,sleeping-bag,【ナンガショップ限定】オーロラテックス ライト 600DX,missing weight; duplicate normalized model,https://store.nanga.jp/products/web-aurora-light-600-dx
,4,naturehike-brighten-20-pyramid-6-people-cotton-glamping-tent,naturehike,tent,Brighten 20 6 Person Glamping Tent,suspicious weight 42 kg,https://www.naturehike.com/products/brighten-20-pyramid-6-people-cotton-glamping-tent
,4,naturehike-gen-17-2-glamping-inflatable-tent,naturehike,tent,GEN 17.2  Glamping Inflatable 4 Season Tent,suspicious weight 47.2 kg,https://www.naturehike.com/products/gen-17-2-glamping-inflatable-tent
,4,naturehike-naturehike-camping-aluminum-alloy-wood-pattern-tent-pole,naturehike,tarp,240cm/280cm Aluminum Alloy & Wood Pattern Tent Pole,accessory candidate; review indexability,https://www.naturehike.com/products/naturehike-camping-aluminum-alloy-wood-pattern-tent-pole
,4,naturehike-naturehike-tent-accessories-tent-fly-inner-tent-footprint,naturehike,tent,Naturehike Tent Accessories - Footprint,accessory candidate; review indexability,https://www.naturehike.com/products/naturehike-tent-accessories-tent-fly-inner-tent-footprint
,4,naturehike-naturehike-yl01-snap-folding-camping-chair,naturehike,chair,PeakLite™ YL01 Ultralight Auto-Snap Pop-Up Camping Chair,suspicious weight 0.02 kg,https://www.naturehike.com/products/naturehike-yl01-snap-folding-camping-chair
,4,nemo-dragonfly-bikepack-footprint,nemo,other,Dragonfly™ Bikepack OSMO™ Footprint,missing weight; accessory candidate; review indexability,https://www.nemoequipment.com/products/dragonfly-bikepack-footprint
,4,onetigris-daisy-chain,onetigris,tent,Daisy Chain,suspicious weight 0.12 kg,https://camping.onetigris.com/products/daisy-chain
,4,onetigris-mesh-inner-tent-01,onetigris,tent,Mesh Inner Tent 01,accessory candidate; review indexability,https://camping.onetigris.com/products/mesh-inner-tent-01
,4,onetigris-mesh-inner-tent-02,onetigris,tent,Mesh Inner Tent 02,accessory candidate; review indexability,https://camping.onetigris.com/products/mesh-inner-tent-02
,4,onetigris-mesh-inner-tent-03,onetigris,tent,Mesh Inner Tent 03,accessory candidate; review indexability,https://camping.onetigris.com/products/mesh-inner-tent-03
