score,review_status,suggested_type,slug,brand_id,category,family,product_count,complete_weight_price,suggested_query,product_ids,editorial_note
58,candidate,collection,big-agnes-copper-spur-models-compared,big-agnes,tent,Copper Spur,14,14,big agnes copper spur models compared,big-agnes-copper-spur-hv-ul1-bikepack|big-agnes-copper-spur-hv-ul3-bikepack|big-agnes-copper-spur-ul-one|big-agnes-copper-spur-ul1-bikepack|big-agnes-copper-spur-ul-two|big-agnes-copper-spur-ul2-bikepack|big-agnes-copper-spur-ul2-mtnglo|big-agnes-copper-spur-ul-two-xl|big-agnes-copper-spur-ul-three|big-agnes-copper-spur-ul3-bikepack|big-agnes-copper-spur-ul3-mtnglo|big-agnes-copper-spur-ul-three-xl,"Verify search intent, variants, facts and takeaways before approval."
40,candidate,collection,big-agnes-tiger-wall-models-compared,big-agnes,tent,Tiger Wall,8,8,big agnes tiger wall models compared,big-agnes-tiger-wall-platinum-two-tent|big-agnes-tiger-wall-platinum-three-tent|big-agnes-tiger-wall-ul-one|big-agnes-tiger-wall-ul1-bikepack|big-agnes-tiger-wall-ul-two|big-agnes-tiger-wall-ul2-bikepack|big-agnes-tiger-wall-ul-three|big-agnes-tiger-wall-ul3-bikepack,"Verify search intent, variants, facts and takeaways before approval."
30,candidate,collection,montbell-down-hugger-models-compared,montbell,sleeping-bag,Down Hugger,6,6,montbell down hugger models compared,montbell-down-hugger-650-2-sunflower|montbell-down-hugger-650-2-long-sunflower|montbell-down-hugger-650-3-balsam|montbell-down-hugger-650-3-long-balsam|montbell-down-hugger-650-5-blue-ridge|montbell-down-hugger-650-5-long-blue-ridge,"Verify search intent, variants, facts and takeaways before approval."
25,candidate,collection,naturehike-cw-down-models-compared,naturehike,sleeping-bag,Cw Down,5,5,naturehike cw down models compared,naturehike-cw280-down-ultralight-sleeping-bag|naturehike-cw295-down-ultralight-sleeping-bag|naturehike-cwtm300-down-ultralight-mummy-sleeping-bag|naturehike-cw400-down-ultralight-sleeping-bag|naturehike-cw700-down-ultralight-sleeping-bag,"Verify search intent, variants, facts and takeaways before approval."
20,candidate,collection,big-agnes-torchlight-exp-models-compared,big-agnes,sleeping-bag,Torchlight Exp,4,4,big agnes torchlight exp models compared,big-agnes-torchlight-exp-0|big-agnes-torchlight-exp-20|big-agnes-torchlight-exp-30|big-agnes-torchlight-exp-youth-20,"Verify search intent, variants, facts and takeaways before approval."
20,candidate,collection,big-agnes-women-anthracite-models-compared,big-agnes,sleeping-bag,Women Anthracite,4,4,big agnes women anthracite models compared,big-agnes-ws-anthracite-twenty|big-agnes-ws-anthracite-20|big-agnes-ws-anthracite-20-alpenglow|big-agnes-ws-anthracite-thirty,"Verify search intent, variants, facts and takeaways before approval."
20,candidate,collection,klymit-insulated-static-models-compared,klymit,sleeping-pad,Insulated Static,4,4,klymit insulated static models compared,klymit-insulated-static-v-lite-eco-sleeping-pad|klymit-insulated-static-v-luxe-sl-camping-sleeping-pad|klymit-insulated-static-v-peak-sleeping-pads|klymit-insulated-static-v-sleeping-pad-4-pack,"Verify search intent, variants, facts and takeaways before approval."
20,candidate,collection,montbell-seamless-alpine-models-compared,montbell,sleeping-bag,Seamless Alpine,4,4,montbell seamless alpine models compared,montbell-seamless-alpine-burrow-bag-2-sunflower|montbell-seamless-alpine-burrow-bag-2-long-sunflower|montbell-seamless-alpine-burrow-bag-5-blue-ridge|montbell-seamless-alpine-burrow-bag-5-long-blue-ridge,"Verify search intent, variants, facts and takeaways before approval."
20,candidate,collection,montbell-seamless-burrow-models-compared,montbell,sleeping-bag,Seamless Burrow,4,4,montbell seamless burrow models compared,montbell-seamless-burrow-bag-2-sunflower|montbell-seamless-burrow-bag-2-long-sunflower|montbell-seamless-burrow-bag-5-blue-ridge|montbell-seamless-burrow-bag-5-long-blue-ridge,"Verify search intent, variants, facts and takeaways before approval."
20,candidate,collection,naturehike-yugu-self-models-compared,naturehike,sleeping-pad,Yugu Self,4,4,naturehike yugu self models compared,naturehike-yugu-self-inflating-car-camping-pad|naturehike-yugutm-self-inflating-sleeping-pad-with-built-in-pump|naturehike-yugutm-ultralight-self-inflating-mummy-pad|naturehike-yugu-ultralight-self-inflating-pad,"Verify search intent, variants, facts and takeaways before approval."
