国家/地区,点击次数,展示,点击率,排名
美国,9,379,2.37%,14.39
加拿大,2,55,3.64%,12.25
澳大利亚,2,32,6.25%,10.91
英国,1,85,1.18%,13.46
日本,1,21,4.76%,8.05
西班牙,1,19,5.26%,16.95
韩国,1,17,5.88%,10
伊朗,1,13,7.69%,5.62
瑞士,1,10,10%,9.2
罗马尼亚,1,6,16.67%,7
希腊,1,6,16.67%,8.33
新加坡,1,4,25%,5.75
奥地利,1,4,25%,6
奥兰群岛,1,3,33.33%,5
保加利亚,1,2,50%,5
斯洛文尼亚,1,1,100%,9
越南,0,64,0%,29.3
荷兰,0,42,0%,8.67
菲律宾,0,37,0%,28.89
瑞典,0,33,0%,8.76
波兰,0,33,0%,9.24
俄罗斯,0,31,0%,23.03
德国,0,27,0%,8.59
印度,0,27,0%,23.78
乌克兰,0,22,0%,22.09
泰国,0,20,0%,31.4
约旦,0,20,0%,35.6
芬兰,0,17,0%,9.12
法国,0,17,0%,15.59
印度尼西亚,0,17,0%,23.29
土耳其,0,16,0%,23.19
比利时,0,15,0%,9.07
摩洛哥,0,15,0%,28.27
孟加拉,0,15,0%,29.6
巴基斯坦,0,14,0%,33.21
丹麦,0,12,0%,6.42
意大利,0,12,0%,9.83
挪威,0,12,0%,11.33
沙特阿拉伯,0,11,0%,24.55
阿尔及利亚,0,11,0%,33.82
伊拉克,0,10,0%,28.5
阿拉伯联合酋长国,0,9,0%,7.22
马来西亚,0,9,0%,17.89
墨西哥,0,9,0%,27.89
捷克,0,8,0%,5.88
智利,0,8,0%,6.5
冰岛,0,6,0%,6.33
匈牙利,0,5,0%,7.4
中国,0,3,0%,6.33
中国香港,0,3,0%,6.33
白俄罗斯,0,3,0%,9.33
阿根廷,0,3,0%,13.67
巴西,0,3,0%,14.67
哥伦比亚,0,3,0%,15
阿塞拜疆,0,3,0%,19
葡萄牙,0,3,0%,21
以色列,0,3,0%,38.67
爱尔兰,0,2,0%,3
多米尼加共和国,0,2,0%,7.5
哈萨克斯坦,0,2,0%,8
危地马拉,0,2,0%,8.5
克罗地亚,0,2,0%,10.5
拉脱维亚,0,2,0%,11
新西兰,0,2,0%,38.5
荷属圣马丁岛,0,1,0%,1
乌兹别克斯坦,0,1,0%,4
利比亚,0,1,0%,5
立陶宛,0,1,0%,6
伯利兹,0,1,0%,7
蒙古,0,1,0%,7
波斯尼亚和黑塞哥维那,0,1,0%,8
马耳他,0,1,0%,8
卢森堡,0,1,0%,9
澳门,0,1,0%,9
摩尔多瓦,0,1,0%,9
斯洛伐克,0,1,0%,9
关岛,0,1,0%,10
吉尔吉斯斯坦,0,1,0%,10
南非,0,1,0%,10
乌拉圭,0,1,0%,19
塞尔维亚,0,1,0%,31
斯里兰卡,0,1,0%,42
